restaurant_id,city,cuisine,price_tier_2019,price_2019,price_2024,inflation_rate,years_open_pre_2019,review_trajectory,rent_index,closed,time_to_event_months
R00039,LA,Japanese,$$$,21.31,25.46,0.1949,9.9,-1.227,1.39,1,48
R00040,NYC,Japanese,$$$$,26.8,32.58,0.2155,4.1,-2.667,1.377,0,72
R00041,Chicago,Mexican,$$,14.89,19.69,0.3228,4.1,-0.638,1.107,1,48
R00042,LA,Indian,$$,12.56,16.46,0.3102,9.3,-1.716,1.427,0,72
R00043,NYC,FastFood,$,7.7,10.57,0.3721,2.7,-0.727,1.711,0,72
R00044,Chicago,American,$$,13.39,16.21,0.2104,2.9,-1.298,0.978,0,72
R00045,Chicago,Italian,$$,15.99,19.04,0.1905,3.3,-0.905,0.89,0,72
R00046,NYC,Japanese,$$,17.1,21.44,0.2537,12.4,-1.065,1.332,0,72
R00047,NYC,Mexican,$$,12.19,15.27,0.2527,1.8,0.963,1.199,0,72
R00048,LA,Chinese,$$,14.57,18.98,0.3031,11.8,-0.049,1.303,0,72
R00049,NYC,American,$$,13.89,18.14,0.3061,9.4,1.075,1.586,0,72
R00050,NYC,Japanese,$$$,21.64,27.56,0.2734,3.7,0.04,1.471,0,72
R00051,NYC,American,$$,15.38,21.04,0.3685,4.4,0.929,1.229,0,72
R00052,LA,Thai,$$,16.93,20.99,0.2398,18.4,-0.302,1.149,0,72
R00053,LA,Chinese,$,11.64,14.75,0.2669,0.7,1.595,1.416,0,72
R00054,LA,Mexican,$,11.27,14.95,0.3267,3.4,0.471,1.291,0,72
R00055,LA,Mexican,$,10.73,14.3,0.3322,8.1,-0.78,1.318,0,72
R00056,LA,Mexican,$,10.19,12.48,0.2249,7.9,0.619,1.785,0,72
R00057,LA,American,$$,17.6,22.71,0.2901,2.9,0.027,1.248,0,72
R00058,NYC,Thai,$$,13.66,18.07,0.3224,0.5,-0.203,1.119,0,72
R00059,NYC,Mediterranean,$$,17.17,20.33,0.184,16.4,0.096,1.271,0,72
R00060,LA,American,$$$,20.13,25.24,0.2542,12.8,0.751,1.245,0,72
R00061,LA,Japanese,$$$$,27.96,33.82,0.2096,2.7,-2.118,1.203,0,72
R00062,LA,Chinese,$,9.67,12.35,0.2773,1.5,-0.351,1.175,1,42
R00063,LA,Japanese,$$$,24.72,29.25,0.1831,2.0,0.683,1.178,0,72
R00064,LA,Italian,$$$,18.75,23.45,0.2508,4.0,0.248,1.092,0,72
R00065,LA,Mediterranean,$$,15.64,21.25,0.3581,1.6,-1.126,1.255,1,33
R00066,LA,Japanese,$$$,23.34,29.48,0.2633,3.7,-2.368,1.419,0,72
R00067,NYC,Chinese,$,9.53,11.55,0.212,0.9,1.701,1.785,0,72
R00068,NYC,Italian,$$$,23.42,29.61,0.2643,0.5,-0.187,1.779,1,20
R00069,NYC,Mexican,$$,13.71,18.24,0.3303,2.0,1.514,1.293,0,72
R00070,NYC,FastFood,$,7.27,9.49,0.3049,0.7,0.795,1.446,0,72
R00071,NYC,Mexican,$,11.25,15.27,0.3577,2.2,-0.794,1.396,0,72
R00072,Chicago,Mexican,$,9.2,12.27,0.334,12.1,-2.501,1.074,0,72
R00073,NYC,Chinese,$$,12.29,15.81,0.2866,2.9,-0.462,1.436,0,72
R00074,NYC,Thai,$$,12.83,15.76,0.2278,9.5,-0.037,1.411,0,72
R00075,NYC,American,$$,12.6,14.87,0.1794,1.2,0.451,1.727,0,72
R00076,NYC,American,$$$,18.4,22.94,0.2467,12.8,-1.111,1.467,0,72
R00077,LA,Italian,$$$,22.65,27.68,0.2222,13.6,0.178,1.218,0,72
R00078,LA,Mexican,$$,12.44,16.1,0.2942,3.0,0.178,1.261,0,72
R00079,LA,Mediterranean,$$,16.09,19.88,0.2358,0.5,0.986,1.301,1,46
R00080,LA,Chinese,$$,14.06,18.68,0.3284,6.9,-0.307,1.302,0,72
R00081,NYC,Mexican,$$,12.46,16.98,0.3631,2.1,0.443,1.747,0,72
R00082,Chicago,American,$$,13.17,16.33,0.24,2.2,0.288,0.857,0,72
R00083,NYC,Mexican,$,11.11,15.35,0.3808,18.7,0.876,1.508,0,72
R00084,NYC,Mexican,$,11.85,15.49,0.3072,0.5,-0.82,1.432,1,33
R00085,NYC,Thai,$$,14.64,18.38,0.2553,5.3,-3.071,1.399,1,30
R00086,LA,American,$$,16.03,19.78,0.2339,5.2,-0.237,1.314,0,72
R00087,LA,Chinese,$$,13.5,17.15,0.2704,1.9,-0.231,1.402,1,48
R00088,NYC,Italian,$$,13.68,15.7,0.1474,2.2,-1.158,1.351,0,72
R00089,LA,Indian,$$,16.34,20.48,0.2527,0.5,-1.508,1.469,0,72
R00090,NYC,Mexican,$$,12.51,17.45,0.3952,1.7,-0.575,1.221,1,35
R00091,LA,Mexican,$$$,19.79,26.92,0.36,1.0,-0.115,1.288,0,72
R00092,NYC,American,$$,14.92,19.49,0.3063,0.9,0.095,1.303,1,13
R00093,NYC,American,$$,16.96,21.82,0.2866,0.8,-2.285,1.343,0,72
R00094,NYC,FastFood,$$,14.14,20.26,0.4324,0.9,-1.754,1.46,0,72
R00095,LA,Italian,$$$,18.64,21.94,0.177,1.3,1.13,1.144,0,72
R00096,NYC,Mexican,$$,12.35,15.95,0.2918,2.2,-0.19,1.028,0,72
R00097,NYC,American,$$,13.4,17.9,0.3362,2.1,-0.002,1.56,0,72
R00098,NYC,American,$$$,21.07,26.99,0.2814,8.3,-1.333,1.592,1,38
R00099,Chicago,Mexican,$,10.15,12.75,0.2564,2.6,-0.004,0.981,0,72
R00100,Chicago,American,$$,17.28,21.73,0.2576,3.0,-0.376,0.972,0,72
R00101,LA,Chinese,$,11.94,15.26,0.2781,10.8,-0.619,1.147,0,72
R00102,NYC,Thai,$$,13.53,17.16,0.2681,1.0,-1.462,1.181,0,72
R00103,Chicago,Thai,$,10.83,13.18,0.2167,1.9,-0.868,0.804,0,72
R00104,LA,Japanese,$$$$,28.02,35.47,0.2661,0.5,1.972,1.321,0,72
R00105,LA,FastFood,$,8.09,10.92,0.3503,0.6,-0.349,1.364,0,72
R00106,NYC,FastFood,$,6.83,9.81,0.4358,0.9,0.79,1.558,0,72
R00107,NYC,Mexican,$$,15.66,20.76,0.3255,18.7,-0.196,1.518,0,72
R00108,NYC,Italian,$$,16.44,20.3,0.2346,5.7,-0.312,1.593,0,72
R00109,Chicago,American,$$,16.99,22.12,0.302,1.5,-0.636,1.09,0,72
R00110,LA,Mexican,$$,14.54,19.91,0.3693,2.7,1.346,1.092,0,72
R00111,NYC,Italian,$$$,19.6,24.65,0.2572,0.5,0.373,1.489,1,30
R00112,NYC,Chinese,$,8.75,10.87,0.2419,14.4,-0.79,1.399,0,72
R00113,LA,FastFood,$,9.63,12.52,0.2994,13.1,-0.394,1.16,0,72
R00114,NYC,Japanese,$$$,21.61,26.3,0.2173,8.1,1.076,1.663,1,41
R00115,Chicago,Indian,$$,13.67,17.11,0.2518,0.5,-2.839,1.208,0,72
R00116,LA,Italian,$$,17.65,21.26,0.2046,2.2,0.311,0.906,0,72
R00117,LA,Mexican,$,9.36,13.1,0.4001,6.9,0.538,1.164,0,72
R00118,NYC,Mediterranean,$$,17.6,21.32,0.2114,5.9,-0.75,1.397,1,53
R00119,LA,Mexican,$,9.78,12.34,0.2619,0.5,0.155,1.379,1,36
R00120,LA,Mexican,$,11.87,15.82,0.3322,1.4,0.502,1.008,0,72
R00121,LA,Italian,$$$,18.51,23.25,0.2561,0.5,-1.231,0.838,0,72
R00122,NYC,Vietnamese,$$,13.95,16.75,0.2006,28.5,0.842,1.6,1,33
R00123,NYC,Italian,$$,15.53,18.07,0.1632,9.9,0.297,1.628,0,72
R00124,NYC,Mexican,$$,16.23,21.54,0.3268,16.1,-0.153,1.171,0,72
R00125,LA,Italian,$$$,21.34,27.7,0.2978,0.5,0.105,1.182,1,34
R00126,NYC,Chinese,$$,12.03,17.02,0.4144,12.5,0.707,1.742,1,13
R00127,NYC,Mexican,$,10.24,13.51,0.3193,5.5,2.316,1.274,0,72
R00128,NYC,American,$$,12.34,15.69,0.2715,19.1,0.61,1.468,0,72
R00129,LA,Mexican,$$,13.13,16.78,0.2782,2.2,0.811,1.275,0,72
R00130,NYC,Italian,$$,15.76,20.2,0.2817,11.5,0.194,1.222,0,72
R00131,Chicago,Vietnamese,$$,14.27,19.36,0.3564,8.4,1.902,0.935,0,72
R00132,LA,Indian,$$,12.83,17.23,0.3428,12.8,-1.466,0.98,0,72
R00133,NYC,Chinese,$,11.05,14.58,0.3185,6.9,-1.737,1.422,0,72
R00134,LA,Italian,$$$,18.77,22.3,0.1881,6.1,0.153,1.091,0,72
R00135,NYC,Chinese,$,11.49,15.17,0.3204,5.8,0.66,1.487,0,72
R00136,Chicago,FastFood,$,8.51,11.74,0.379,3.6,-2.575,1.079,0,72
R00137,LA,Chinese,$$,15.52,19.87,0.28,8.5,-0.003,1.418,0,72
R00138,LA,Chinese,$$,13.28,16.06,0.2092,2.0,-0.18,1.588,0,72
R00139,NYC,Japanese,$$$,22.48,28.15,0.252,8.7,0.744,1.487,1,29
R00140,LA,Chinese,$$,13.49,17.35,0.286,2.3,0.429,1.155,0,72
R00141,LA,Chinese,$,9.58,11.59,0.2089,17.6,-1.808,1.147,0,72
R00142,Chicago,Mexican,$$,13.41,17.46,0.3016,13.1,-1.08,0.891,0,72
R00143,LA,Vietnamese,$,11.84,15.8,0.3353,1.3,-0.807,1.266,0,72
R00144,LA,American,$$$,18.79,25.42,0.353,5.1,0.739,1.131,0,72
R00145,NYC,Vietnamese,$$,12.82,16.2,0.2634,1.0,0.375,1.543,0,72
R00146,NYC,Indian,$$,13.98,18.69,0.3365,5.1,-0.621,1.296,0,72
R00147,LA,Italian,$$$,21.68,27.71,0.2783,0.7,0.145,1.135,0,72
R00148,NYC,FastFood,$,8.06,11.18,0.386,0.8,-1.058,1.527,0,72
R00149,NYC,Indian,$$,15.16,18.94,0.2497,15.2,2.05,1.428,0,72
R00150,Chicago,Thai,$$,13.24,15.97,0.2068,1.9,0.574,0.794,0,72
R00151,Chicago,Indian,$$,15.76,19.77,0.2549,2.2,0.786,0.998,0,72
R00152,NYC,Italian,$$,16.82,21.1,0.2545,8.6,1.377,1.317,0,72
R00153,LA,Italian,$$$,24.21,29.11,0.202,0.6,1.016,1.383,0,72
R00154,NYC,Japanese,$$$$,31.63,42.22,0.3346,4.5,0.032,1.629,0,72
R00155,LA,Mexican,$$,14.63,19.02,0.3,4.3,-0.185,0.912,0,72
R00156,NYC,Japanese,$$$$,29.03,34.12,0.1753,0.5,1.288,1.596,0,72
R00157,LA,Mexican,$,9.48,12.4,0.3088,8.5,0.027,1.257,0,72
R00158,LA,Mexican,$,9.68,13.01,0.344,10.0,-0.749,1.004,0,72
R00159,LA,FastFood,$,8.02,10.89,0.3571,3.5,1.967,1.333,0,72
R00160,NYC,Vietnamese,$,11.59,15.6,0.3467,7.6,-0.936,1.244,0,72
R00161,Chicago,American,$$,15.44,20.14,0.3047,13.2,-1.735,1.147,1,7
R00162,NYC,Italian,$$,13.39,16.0,0.1943,8.3,0.993,1.342,0,72
R00163,NYC,American,$$$,19.69,24.78,0.2588,7.4,-0.731,1.209,0,72
R00164,LA,Mediterranean,$$$$,25.05,33.75,0.3473,1.8,0.435,1.548,1,16
R00165,NYC,Vietnamese,$$,14.48,17.84,0.2316,4.4,1.817,1.204,0,72
R00166,Chicago,American,$$$,19.45,23.87,0.2273,3.7,-1.375,0.908,0,72
R00167,Chicago,Japanese,$$$,22.91,29.36,0.2814,1.2,-0.041,0.929,1,30
R00168,NYC,Italian,$$,15.47,20.27,0.3107,4.3,1.483,1.373,0,72
R00169,Chicago,Vietnamese,$,11.65,15.3,0.313,3.2,0.682,1.087,0,72
R00170,NYC,FastFood,$$,12.42,17.31,0.3943,4.0,-0.18,1.46,1,18
R00171,LA,Japanese,$$$,20.65,24.74,0.1979,1.4,2.389,1.354,0,72
R00172,NYC,Japanese,$$$,20.27,27.13,0.3387,12.6,-0.095,1.516,0,72
R00173,Chicago,Japanese,$$$$,26.85,31.15,0.16,13.9,0.397,0.818,0,72
R00174,NYC,Japanese,$$$$,27.18,32.96,0.213,10.8,1.649,1.549,1,45
R00175,NYC,FastFood,$,7.3,10.07,0.3794,0.7,0.981,1.491,0,72
R00176,NYC,Indian,$$,13.83,17.64,0.2753,6.6,1.322,1.345,0,72
R00177,Chicago,Italian,$$,16.45,19.9,0.2103,1.2,-0.9,1.283,0,72
R00178,Chicago,Italian,$$$,18.23,22.27,0.2215,0.9,1.228,1.076,0,72
R00179,LA,Japanese,$$$$,26.83,35.93,0.3389,9.9,0.17,1.344,0,72
R00180,Chicago,Mexican,$,10.82,14.19,0.3117,0.7,-0.746,1.124,0,72
R00181,Chicago,American,$$$,19.47,23.34,0.1991,1.7,0.222,0.951,0,72
R00182,LA,Thai,$$,14.26,18.88,0.3238,0.5,0.19,1.295,0,72
R00183,NYC,Vietnamese,$$,17.48,22.52,0.2884,13.0,1.868,1.506,0,72
R00184,LA,Chinese,$$,13.77,18.53,0.3457,2.7,0.381,1.122,0,72
R00185,LA,Indian,$$,14.25,18.29,0.2832,15.4,-0.781,1.036,0,72
R00186,NYC,Indian,$$,16.08,21.23,0.32,5.5,-1.011,1.454,0,72
R00187,NYC,Chinese,$$,12.23,15.06,0.231,5.6,-0.047,1.556,0,72
R00188,LA,American,$,11.58,13.29,0.1475,7.4,-1.346,1.202,0,72
R00189,NYC,American,$$,15.32,18.46,0.2049,2.6,-0.715,1.419,0,72
R00190,Chicago,Thai,$$,13.37,18.01,0.3473,17.5,-0.244,1.003,1,26
R00191,NYC,Mexican,$,9.38,12.04,0.2826,4.8,-0.422,1.401,0,72
R00192,NYC,Chinese,$$,12.83,17.41,0.3566,5.2,0.727,1.746,0,72
R00193,Chicago,Japanese,$$,15.16,18.01,0.1879,0.7,-0.738,1.033,0,72
R00194,NYC,Mexican,$,11.74,15.59,0.328,24.8,-2.47,1.368,0,72
R00195,NYC,Japanese,$$$,22.99,29.14,0.2678,2.5,-1.686,1.167,0,72
R00196,LA,Thai,$$,14.25,19.55,0.3722,1.2,-0.018,1.172,0,72
R00197,Chicago,Chinese,$$,12.07,15.69,0.2992,4.5,-0.587,0.933,0,72
R00198,NYC,Japanese,$$$,21.66,27.93,0.2893,7.9,-1.237,1.347,1,39
R00199,NYC,FastFood,$,7.38,10.52,0.4248,1.1,1.958,1.624,1,43
R00200,LA,American,$$,16.03,19.69,0.2283,11.9,0.829,1.212,0,72
R00201,Chicago,American,$$,16.17,20.75,0.2834,5.0,-0.058,0.817,0,72
R00202,LA,American,$$,13.61,17.76,0.3051,15.6,0.233,1.293,0,72
R00203,NYC,Chinese,$$,13.64,18.61,0.3645,0.5,-0.265,1.199,1,50
R00204,NYC,Chinese,$$,13.63,17.88,0.3122,8.0,-1.254,1.576,0,72
R00205,NYC,Vietnamese,$,11.16,14.6,0.3081,2.5,1.031,1.37,0,72
R00206,NYC,Japanese,$$$$,34.02,41.72,0.2265,16.9,0.851,1.465,1,34
R00207,LA,Italian,$$,17.55,20.88,0.1896,4.3,-1.977,1.196,1,50
R00208,NYC,Mexican,$,11.89,15.38,0.2941,4.6,0.226,1.424,0,72
R00209,LA,Thai,$$,12.98,16.98,0.3083,5.0,0.337,1.231,0,72
R00210,LA,Mexican,$,10.5,13.73,0.3086,7.6,-0.322,1.212,1,39
R00211,LA,Indian,$$,16.41,21.35,0.3016,7.1,2.097,1.502,0,72
R00212,NYC,Italian,$$,15.91,20.27,0.2744,5.3,1.989,1.489,0,72
R00213,Chicago,American,$$,14.45,17.0,0.177,1.9,-0.378,1.03,0,72
R00214,LA,Chinese,$,11.8,14.7,0.2455,8.1,-0.223,1.102,0,72
R00215,LA,Chinese,$,10.89,14.03,0.2886,1.7,-0.34,1.256,0,72
R00216,NYC,American,$,11.67,14.49,0.2412,12.4,-0.611,1.282,0,72
R00217,NYC,Vietnamese,$,10.58,13.61,0.286,5.3,-0.921,1.665,0,72
R00218,Chicago,Chinese,$$,15.21,20.61,0.3548,0.9,0.507,0.837,1,38
R00219,NYC,Japanese,$$$,22.79,27.2,0.1933,11.6,1.961,1.31,0,72
R00220,NYC,Japanese,$$$$,29.14,39.95,0.3712,10.6,1.55,1.193,0,72
R00221,LA,Chinese,$$,14.88,19.56,0.3144,1.4,0.789,1.262,0,72
R00222,LA,American,$$,17.58,23.02,0.3093,3.4,-2.407,1.14,0,72
R00223,Chicago,Chinese,$$$,18.24,23.96,0.3134,6.5,-1.865,1.086,0,72
R00224,NYC,American,$$,15.72,20.61,0.3108,14.1,1.064,1.29,0,72
R00225,Chicago,Mexican,$$,12.64,17.36,0.3731,9.9,1.619,1.066,0,72
R00226,NYC,Japanese,$$$,21.95,26.69,0.2159,40.0,0.554,1.554,0,72
R00227,LA,Italian,$$$,23.77,29.05,0.2222,2.7,-0.306,1.231,0,72
R00228,LA,Japanese,$$$,22.01,26.57,0.2074,14.3,1.352,1.204,0,72
R00229,NYC,Japanese,$$$,19.58,23.2,0.1852,1.5,0.754,1.474,0,72
R00230,NYC,Mediterranean,$$$,18.9,23.75,0.2569,3.0,1.137,1.3,0,72
R00231,NYC,Japanese,$$$,18.99,25.9,0.3636,2.4,-1.857,1.274,1,14
R00232,Chicago,Thai,$$,15.41,19.28,0.2513,0.5,0.343,1.067,1,55
R00233,LA,Chinese,$$,14.01,19.6,0.3992,3.6,1.775,1.148,0,72
R00234,Chicago,Italian,$$,17.4,22.69,0.3043,9.3,0.527,1.056,0,72
R00235,Chicago,Mexican,$$,13.84,19.93,0.4398,5.5,0.948,1.205,0,72
R00236,LA,Japanese,$$,16.83,22.64,0.3453,7.4,0.036,1.136,0,72
R00237,LA,Vietnamese,$,11.84,16.91,0.4279,10.0,0.106,1.117,0,72
R00238,NYC,Thai,$$,12.88,17.08,0.3263,2.2,1.403,1.395,1,63
R00239,NYC,American,$$$$,26.78,34.59,0.2914,8.9,-0.67,1.457,0,72
R00240,Chicago,Vietnamese,$,11.83,15.31,0.2947,12.0,-0.768,1.076,0,72
R00241,LA,Chinese,$,11.68,15.18,0.3,17.0,-0.478,1.196,0,72
R00242,NYC,Mexican,$,9.75,13.14,0.3475,1.5,0.023,1.861,0,72
R00243,LA,Thai,$$,17.71,23.51,0.3276,12.2,-1.61,1.262,0,72
R00244,LA,Chinese,$$,12.21,15.58,0.2767,16.4,0.731,1.318,0,72
R00245,Chicago,Mexican,$,10.84,13.24,0.2211,5.8,-0.164,0.996,0,72
R00246,LA,FastFood,$,9.03,12.26,0.3582,5.1,0.854,1.355,0,72
R00247,NYC,FastFood,$,9.55,12.66,0.3254,1.4,-2.119,1.415,0,72
R00248,NYC,American,$$,17.93,22.43,0.2505,7.6,0.858,1.342,0,72
R00249,NYC,Italian,$$$,18.06,22.45,0.2429,8.2,1.337,1.616,0,72
R00250,LA,Thai,$$,14.41,18.32,0.2714,2.9,0.439,1.192,0,72
R00251,Chicago,Chinese,$$,13.55,17.97,0.3255,9.4,0.03,1.03,0,72
R00252,LA,Japanese,$$$,23.37,29.02,0.2417,4.2,0.865,1.35,0,72
R00253,NYC,Italian,$$$,19.43,25.42,0.308,4.4,1.271,1.474,0,72
R00254,NYC,FastFood,$,10.35,14.18,0.3703,5.3,0.523,1.424,0,72
R00255,LA,FastFood,$,8.59,11.47,0.3356,2.5,0.598,1.125,0,72
R00256,Chicago,Vietnamese,$,9.93,12.79,0.2879,11.3,1.657,1.136,0,72
R00257,NYC,Mexican,$$,12.18,15.53,0.2754,0.8,0.761,1.392,0,72
R00258,NYC,Japanese,$$$$,25.2,32.43,0.2869,3.7,-0.8,1.441,0,72
R00259,LA,Chinese,$,9.43,12.65,0.3425,3.1,1.267,1.242,0,72
R00260,NYC,Mediterranean,$$,12.34,16.53,0.3395,14.7,-0.124,1.5,0,72
R00261,Chicago,Mexican,$$,14.75,18.03,0.2224,12.8,0.033,1.129,0,72
R00262,NYC,Mexican,$$,16.43,20.77,0.2641,0.5,0.107,1.438,1,44
R00263,NYC,Indian,$,11.55,14.7,0.2732,1.3,0.969,1.71,0,72
R00264,Chicago,Japanese,$$$,22.4,28.88,0.2892,14.0,1.749,0.971,0,72
R00265,NYC,Thai,$$,13.03,17.21,0.321,1.7,0.024,1.516,0,72
R00266,NYC,Mexican,$,11.93,15.52,0.3013,0.7,1.731,1.418,0,72
R00267,NYC,Thai,$$,14.79,18.3,0.2374,1.3,0.165,1.864,1,37
R00268,NYC,Mexican,$,9.9,12.93,0.3058,13.0,1.402,1.39,0,72
R00269,NYC,Mexican,$,10.24,13.34,0.3024,1.1,0.198,1.405,0,72
R00270,NYC,Japanese,$$$,20.84,27.44,0.3168,4.6,-0.492,1.47,0,72
R00271,NYC,Chinese,$$,12.66,17.36,0.3706,1.0,1.922,1.404,0,72
R00272,NYC,American,$$,13.06,16.04,0.2275,3.1,-0.588,1.506,0,72
R00273,LA,Mexican,$$,14.41,19.56,0.3577,13.3,-0.655,1.391,0,72
R00274,LA,Mexican,$,11.59,15.68,0.3525,13.9,-1.256,1.221,0,72
R00275,NYC,Indian,$$,13.44,16.68,0.241,1.1,1.267,1.482,0,72
R00276,NYC,Chinese,$$,13.68,18.0,0.3158,1.1,1.503,1.411,0,72
R00277,LA,Vietnamese,$,11.24,14.91,0.327,3.0,0.373,1.129,0,72
R00278,Chicago,Indian,$$,16.86,21.21,0.2582,3.3,-0.984,1.012,1,39
R00279,Chicago,Mexican,$,10.57,12.73,0.2045,6.5,-0.007,1.001,0,72
R00280,NYC,Indian,$,11.28,14.73,0.3066,4.8,-0.303,1.669,0,72
R00281,NYC,Chinese,$$,12.29,16.62,0.3518,0.5,-1.03,1.292,0,72
R00282,NYC,Italian,$$$,18.2,24.18,0.329,21.3,-0.489,1.727,0,72
R00283,NYC,Mexican,$,10.0,13.06,0.3066,2.3,0.506,1.425,0,72
R00284,LA,Thai,$,10.91,13.77,0.2627,1.4,-0.605,1.222,0,72
R00285,NYC,American,$$,16.53,20.99,0.2696,1.1,0.292,1.276,0,72
R00286,NYC,American,$$,13.96,18.07,0.2946,4.3,-1.776,1.551,1,53
R00287,NYC,FastFood,$,6.54,8.93,0.3649,2.6,1.679,1.292,0,72
R00288,LA,Italian,$$$,21.42,26.99,0.2602,1.5,-0.391,1.255,0,72
R00289,NYC,Mediterranean,$$,15.17,18.72,0.2337,11.4,0.87,1.499,0,72
R00290,Chicago,Indian,$$,17.83,22.65,0.2698,2.6,0.189,0.962,1,48
R00291,NYC,FastFood,$,8.54,11.3,0.3229,0.5,0.402,1.132,1,34
R00292,Chicago,Mediterranean,$$,17.93,22.1,0.2328,10.0,-1.132,1.296,0,72
R00293,NYC,FastFood,$,8.18,11.83,0.4454,3.6,-0.761,1.278,0,72
R00294,Chicago,Mexican,$,7.75,9.46,0.2201,2.9,-0.738,1.033,0,72
R00295,Chicago,Thai,$,11.41,14.22,0.246,5.6,0.025,0.916,0,72
R00296,Chicago,Thai,$$,13.69,16.37,0.1963,0.5,1.326,1.134,0,72
R00297,Chicago,Vietnamese,$$,12.28,15.81,0.2877,0.5,0.433,0.955,0,72
R00298,LA,Italian,$$,13.04,16.73,0.2824,4.6,-0.9,1.096,1,38
R00299,LA,FastFood,$,8.42,11.35,0.3485,8.2,0.087,1.289,0,72
R00300,LA,Chinese,$,10.62,13.75,0.2942,0.5,-0.081,1.03,0,72
R00301,NYC,American,$$,16.69,22.47,0.3464,1.7,-0.351,1.38,0,72
R00302,LA,American,$$,15.94,20.35,0.2765,13.0,-0.015,1.304,0,72
R00303,LA,Chinese,$$,14.86,19.93,0.341,12.8,0.764,1.438,0,72
R00304,Chicago,Indian,$$,17.57,22.59,0.2858,6.4,-0.72,0.891,0,72
R00305,LA,Mexican,$$,13.58,15.97,0.1762,6.9,-0.346,1.115,0,72
R00306,NYC,Vietnamese,$$,13.43,17.81,0.3262,22.7,0.982,1.513,0,72
R00307,LA,Thai,$$,13.14,16.25,0.2361,1.1,0.469,0.944,1,30
R00308,NYC,Italian,$$$$,29.92,36.16,0.2085,5.7,1.279,1.707,0,72
